image size+1: 785
Enter no of threads:
0.308920 0.203556 0.408502 
old logloss: 0.000002 
start update

Enter iterations for each thread:
Delta Norm = 3.134402
Delta Norm = 3.083669
Delta Norm = 3.809940
Delta Norm = 2.759206
Delta Norm = 2.987684
Delta Norm = 3.075647
Delta Norm = 3.015563
Delta Norm = 4.266130
Delta Norm = 3.382776
Delta Norm = 2.010221
Delta Norm = 3.501242
Delta Norm = 2.630874
Delta Norm = 2.686323
Delta Norm = 4.032303
Delta Norm = 3.484699
Delta Norm = 2.274026
Delta Norm = 3.524373
Delta Norm = 2.389349
Delta Norm = 3.336401
Delta Norm = 1.252489
Delta Norm = 2.870611
Delta Norm = 3.622950
Delta Norm = 3.613265
Delta Norm = 2.909928
Delta Norm = 3.003236
Delta Norm = 3.763782
Delta Norm = 1.374354
Delta Norm = 3.041665
Delta Norm = 3.209466
Delta Norm = 3.232084
Delta Norm = 3.535712
Delta Norm = 3.315339
Delta Norm = 3.511818
Delta Norm = 3.991847
Delta Norm = 3.252163
Delta Norm = 3.302880
Delta Norm = 0.725337
Delta Norm = 3.046988
Delta Norm = 3.224867
Delta Norm = 3.106232
Delta Norm = 4.131967
Delta Norm = 4.147460
Delta Norm = 2.437894
Delta Norm = 3.498881
Delta Norm = 3.018666
Delta Norm = 4.158920
Delta Norm = 3.779805
Delta Norm = 3.225369
Delta Norm = 3.622888
Delta Norm = 3.425669
Delta Norm = 2.769912
Delta Norm = 3.523201
Delta Norm = 4.213883
Delta Norm = 3.190892
Delta Norm = 2.782600
Delta Norm = 3.611555
Delta Norm = 1.830184
Delta Norm = 3.501104
Delta Norm = 4.019074
Delta Norm = 3.008515
Delta Norm = 3.977855
Delta Norm = 2.900125
Delta Norm = 3.897693
Delta Norm = 3.294815
Delta Norm = 3.743273
Delta Norm = 4.131739
Delta Norm = 3.446881
Delta Norm = 0.367740
Delta Norm = 2.692827
Delta Norm = 3.096327
Delta Norm = 3.489046
Delta Norm = 3.187322
Delta Norm = 3.898134
Delta Norm = 3.734998
Delta Norm = 3.531186
Delta Norm = 4.366241
Delta Norm = 4.757555
Delta Norm = 2.905953
Delta Norm = 2.602932
Delta Norm = 0.505066
Delta Norm = 3.511123
Delta Norm = 3.064348
Delta Norm = 3.141659
Delta Norm = 2.878778
